Country Name,Time,Energy Value
Bermuda,2008,0
Bermuda,2009,0
Bermuda,2010,0
Bermuda,2011,0
Bermuda,2012,0
Canada,2008,384.587
Canada,2009,379.476
Canada,2010,366.247
Canada,2011,398.286
Canada,2012,397.344
Greenland,2008,0
Greenland,2009,0
Greenland,2010,0
Greenland,2011,0
Greenland,2012,0
Mexico,2008,48.59
Mexico,2009,36.512
Mexico,2010,47.327
Mexico,2011,46.336
Mexico,2012,43.857
Saint Pierre and Miquelon,2008,0
Saint Pierre and Miquelon,2009,0
Saint Pierre and Miquelon,2010,0
Saint Pierre and Miquelon,2011,0
Saint Pierre and Miquelon,2012,0
United States,2008,392.73567
United States,2009,429.65204
United States,2010,440.23135
United States,2011,527.48973
United States,2012,508.36023
Antarctica,2008,0.002
Antarctica,2009,0.004
Antarctica,2010,0.004
Antarctica,2011,0.004
Antarctica,2012,0.004
Antigua and Barbuda,2008,0
Antigua and Barbuda,2009,0
Antigua and Barbuda,2010,0
Antigua and Barbuda,2011,0
Antigua and Barbuda,2012,0
Argentina,2008,32.9351
Argentina,2009,36.3431
Argentina,2010,35.4761
Argentina,2011,33.791
Argentina,2012,31.742
Aruba,2008,0
Aruba,2009,0.03
Aruba,2010,0.1
Aruba,2011,0.09
Aruba,2012,0.09
"Bahamas, The",2008,0
"Bahamas, The",2009,0
"Bahamas, The",2010,0
"Bahamas, The",2011,0
"Bahamas, The",2012,0
Barbados,2008,0
Barbados,2009,0
Barbados,2010,0
Barbados,2011,0
Barbados,2012,0
Belize,2008,0.24468
Belize,2009,0.38823
Belize,2010,0.46323
Belize,2011,0.44523
Belize,2012,0.40903
Bolivia,2008,2.349
Bolivia,2009,2.339
Bolivia,2010,2.32
Bolivia,2011,2.484
Bolivia,2012,2.562
Brazil,2008,386.3092
Brazil,2009,410.8282
Brazil,2010,432.9282
Brazil,2011,459.0502
Brazil,2012,451.4762
Cayman Islands,2008,0
Cayman Islands,2009,0
Cayman Islands,2010,0
Cayman Islands,2011,0
Cayman Islands,2012,0
Chile,2008,27.072
Chile,2009,29.396
Chile,2010,24.079
Chile,2011,24.537
Chile,2012,25.219
Colombia,2008,46.53
Colombia,2009,41.239
Colombia,2010,40.535
Colombia,2011,48.948
Colombia,2012,47.661
Costa Rica,2008,8.721
Costa Rica,2009,8.787
Costa Rica,2010,8.87
Costa Rica,2011,8.884
Costa Rica,2012,9.273
Cuba,2008,0.711
Cuba,2009,0.7044
Cuba,2010,0.5807
Cuba,2011,0.5881
Cuba,2012,0.687
Dominica,2008,0.02
Dominica,2009,0.0235
Dominica,2010,0.0235
Dominica,2011,0.0355
Dominica,2012,0.0265
Dominican Republic,2008,1.413
Dominican Republic,2009,1.4935
Dominican Republic,2010,1.4595
Dominican Republic,2011,1.656
